"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95","values"
"2015.7205",25229.4322934146,23007.6556285449,27451.2089582842,21831.518107273,28627.3464795562,2015-09-21
"2015.7233",25199.7930566125,22978.0163917428,27421.5697214821,21801.8788704709,28597.7072427541,2015-09-22
"2015.7260",25160.1981059686,22938.421441099,27381.9747708382,21762.283919827,28558.1122921102,2015-09-23
"2015.7288",25110.0930677512,22888.3164028816,27331.8697326208,21712.1788816096,28508.0072538928,2015-09-24
"2015.7315",25049.5662440888,22827.7895792191,27271.3429089584,21651.6520579472,28447.4804302304,2015-09-25
"2015.7342",24979.3746974153,22757.5980325457,27201.1513622849,21581.4605112737,28377.2888835569,2015-09-26
"2015.7370",24900.9272017584,22679.1505368888,27122.703866628,21503.0130156168,28298.8413879,2015-09-27
"2015.7397",24816.2264988437,22594.4498339741,27038.0031637134,21418.3123127021,28214.1406849853,2015-09-28
"2015.7425",24727.7754423851,22505.9987775155,26949.5521072547,21329.8612562435,28125.6896285267,2015-09-29
"2015.7452",24638.4533502504,22416.6766853808,26860.2300151201,21240.5391641088,28036.3675363921,2015-09-30
"2015.7479",24551.3701471079,22329.5934822383,26773.1468119776,21153.4559609663,27949.2843332495,2015-10-01
"2015.7507",24469.7066417162,22247.9299768466,26691.4833065859,21071.7924555746,27867.6208278578,2015-10-02
"2015.7534",24396.5495498465,22174.7728849768,26618.3262147161,20998.6353637049,27794.4637359881,2015-10-03
"2015.7562",24334.7296828069,22112.9530179373,26556.5063476766,20936.8154966653,27732.6438689485,2015-10-04
"2015.7589",24286.6711336333,22064.8944687637,26508.447798503,20888.7569474917,27684.5853197749,2015-10-05
"2015.7616",24254.2583857158,22032.4817208462,26476.0350505855,20856.3441995742,27652.1725718574,2015-10-06
"2015.7644",24238.7271279891,22016.9504631195,26460.5037928587,20840.8129418475,27636.6413141307,2015-10-07
"2015.7671",24240.5832735495,22018.8066086799,26462.3599384191,20842.6690874079,27638.4974596911,2015-10-08
"2015.7699",24259.55332516,22037.7766602904,26481.3299900297,20861.6391390184,27657.4675113016,2015-10-09
"2015.7726",24294.5678802939,22072.7912154243,26516.3445451636,20896.6536941523,27692.4820664356,2015-10-10
"2015.7753",24343.7787734569,22122.0021085873,26565.5554383265,20945.8645873153,27741.6929595985,2015-10-11
"2015.7781",24404.6091508171,22182.8324859475,26626.3858156868,21006.6949646755,27802.5233369587,2015-10-12
"2015.7808",24473.8346813744,22252.0580165047,26695.611346244,21075.9204952328,27871.748867516,2015-10-13
"2015.7836",24547.6931354681,22325.9164705985,26769.4698003377,21149.7789493265,27945.6073216097,2015-10-14
"2015.7863",24622.018700343,22400.2420354734,26843.7953652126,21224.1045142014,28019.9328864846,2015-10-15
"2015.7890",24692.3966430221,22470.6199781525,26914.1733078917,21294.4824568805,28090.3108291637,2015-10-16
"2015.7918",24754.33326159,22532.5565967204,26976.1099264596,21356.4190754484,28152.2474477316,2015-10-17
"2015.7945",24803.4354801629,22581.6588152932,27025.2121450325,21405.5212940213,28201.3496663045,2015-10-18
"2015.7973",24835.5939416704,22613.8172768008,27057.37060654,21437.6797555288,28233.508127812,2015-10-19
"2015.8000",24847.1630484319,22625.3863835622,27068.9397133015,21449.2488622903,28245.0772345735,2015-10-20
