"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95","values"
"2015.3644",31615.9086229392,28698.5339848174,34533.2832610609,27154.169139441,36077.6481064373,2015-05-14
"2015.3671",31445.0681288961,28527.6934907744,34362.4427670179,26983.328645398,35906.8076123943,2015-05-15
"2015.3699",31274.3059560828,28356.9313179611,34191.6805942045,26812.5664725847,35736.0454395809,2015-05-16
"2015.3726",31104.5340179272,28187.1593798054,34021.9086560489,26642.7945344291,35566.2735014253,2015-05-17
"2015.3753",30936.6682004044,28019.2935622827,33854.0428385262,26474.9287169063,35398.4076839026,2015-05-18
"2015.3781",30771.6130499268,27854.2384118051,33688.9876880486,26309.8735664287,35233.3525334249,2015-05-19
"2015.3808",30610.2470500128,27692.8724118911,33527.6216881345,26148.5075665147,35071.9865335109,2015-05-20
"2015.3836",30453.408727147,27536.0340890253,33370.7833652688,25991.6692436489,34915.1482106452,2015-05-21
"2015.3863",30301.8838026741,27384.5091645523,33219.2584407958,25840.1443191759,34763.6232861722,2015-05-22
"2015.3890",30156.3935807269,27239.0189426051,33073.7682188486,25694.6540972288,34618.133064225,2015-05-23
"2015.3918",30017.5847327079,27100.2100945862,32934.9593708297,25555.8452492098,34479.3242162061,2015-05-24
"2015.3945",29886.0206073696,26968.6459692479,32803.3952454914,25424.2811238715,34347.7600908678,2015-05-25
"2015.3973",29762.1741627664,26844.7995246447,32679.5488008882,25300.4346792683,34223.9136462646,2015-05-26
"2015.4000",29646.4225829543,26729.0479448326,32563.7972210761,25184.6830994562,34108.1620664525,2015-05-27
"2015.4027",29539.0436089758,26621.6689708541,32456.4182470976,25077.3041254777,34000.783092474,2015-05-28
"2015.4055",29440.2135810451,26522.8389429234,32357.5882191669,24978.474097547,33901.9530645433,2015-05-29
"2015.4082",29350.0071575607,26432.632519439,32267.3817956824,24888.2676740626,33811.7466410588,2015-05-30
"2015.4110",29268.3986472009,26351.0240090792,32185.7732853226,24806.6591637028,33730.138130699,2015-05-31
"2015.4137",29195.2648634188,26277.8902252971,32112.6395015406,24733.5253799207,33657.004346917,2015-06-01
"2015.4164",29130.3893866045,26213.0147484828,32047.7640247263,24668.6499031064,33592.1288701027,2015-06-02
"2015.4192",29073.4680984038,26156.093460282,31990.8427365255,24611.7286149056,33535.2075819019,2015-06-03
"2015.4219",29024.1158354786,26106.7411973569,31941.4904736003,24562.3763519805,33485.8553189767,2015-06-04
"2015.4247",28981.8739965809,26064.4993584591,31899.2486347026,24520.1345130827,33443.613480079,2015-06-05
"2015.4274",28946.2189273217,26028.8442891999,31863.5935654434,24484.4794438236,33407.9584108198,2015-06-06
"2015.4301",28916.5709015006,25999.1962633789,31833.9455396224,24454.8314180025,33378.3103849988,2015-06-07
"2015.4329",28892.3035162711,25974.9288781494,31809.6781543929,24430.564032773,33354.0429997693,2015-06-08
"2015.4356",28872.7533206394,25955.3786825177,31790.1279587612,24411.0138371413,33334.4928041376,2015-06-09
"2015.4384",28857.2295026232,25939.8548645015,31774.604140745,24395.4900191251,33318.9689861213,2015-06-10
"2015.4411",28845.0234695655,25927.6488314438,31762.3981076872,24383.2839860674,33306.7629530636,2015-06-11
"2015.4438",28835.418168268,25918.0435301462,31752.7928063897,24373.6786847698,33297.1576517661,2015-06-12
"2015.4466",28827.697006391,25910.3223682692,31745.0716445127,24365.9575228928,33289.4364898891,2015-06-13
"2015.4493",28821.1522535269,25903.7776154051,31738.5268916486,24359.4127700287,33282.891737025,2015-06-14
"2015.4521",28815.0928190185,25897.7181808968,31732.4674571403,24353.3533355204,33276.8323025167,2015-06-15
"2015.4548",28808.8513234738,25891.476685352,31726.2259615955,24347.1118399756,33270.5908069719,2015-06-16
"2015.4575",28801.7904015126,25884.4157633908,31719.1650396343,24340.0509180144,33263.5298850107,2015-06-17
"2015.4603",28793.3081940725,25875.9335559508,31710.6828321942,24331.5687105744,33255.0476775706,2015-06-18
"2015.4630",28782.8430090904,25865.4683709687,31700.2176472122,24321.1035255923,33244.5824925885,2015-06-19
