"","Prezzo","Consumi","Gradi","Consumiperc","Prezzoperc"
"26227",51.445,77902,3,12.7932470949353,3.0490627934971
"26228",56.445,85832,0,9.71911750413062,10.1794562398911
"26229",65.1,89478,-1,15.3335104969439,4.24783297604623
"26230",60.48,88062,-2,-7.09677419354837,-1.58251190236706
"26231",47.435,84380,-2,-21.5691137566138,-4.18114510231428
"26232",46.245,80589,-2,-2.50869611046695,-4.49277079876748
"26233",45.39,75430,-3,-1.84884852416478,-6.40161808683567
"26234",44.445,69744,-3,-2.08195637805684,-7.53811480843166
"26235",40.455,63697,-3,-8.97738778265272,-8.67027988070658
"26236",39.315,62282,-2,-2.81794586577679,-2.22145469959339
"26237",40.52,62767,-3,3.06498791809743,0.778716161972962
"26238",38.945,61826,-3,-3.88696939782824,-1.49919543709274
"26239",34.25,60951,-3,-12.0554628321993,-1.41526218742924
"26240",33.885,59666,-2,-1.06569343065692,-2.10825089005923
"26241",35.64,59884,-3,5.17928286852588,0.365367210806825
"26242",38.33,62862,-2,7.54769921436587,4.97294769888451
"26243",42.89,68970,-3,11.896686668406,9.71652190512551
"26244",43.315,75396,-1,0.99090697132198,9.31709438886472
"26245",43.855,81344,1,1.24668128823733,7.88901267971776
"26246",47.4,83243,3,8.08345684642574,2.33452989771833
"26247",52.675,83418,4,11.1286919831223,0.21022788702954
"26248",51.25,83376,5,-2.70526815377313,-0.0503488455728979
"26249",44.16,82480,5,-13.8341463414634,-1.07464977931299
"26250",43.005,82723,5,-2.61548913043479,0.294616876818623
"26251",52.455,84574,3,21.9741890477851,2.23758809520931
"26252",60.17,92469,2,14.707844819369,9.33502021897983
"26253",64.405,97644,1,7.03839122486289,5.59647016838075
"26254",59.58,96124,1,-7.49165437466036,-1.55667526934579
"26255",46.93,91710,-1,-21.2319570325613,-4.59198535225334
"26256",47.54,86274,-1,1.29980822501598,-5.92737978410206
"26257",45.55,80161,-3,-4.18594867480017,-7.08556459651807
"26258",43.71,72786,-4,-4.03951701427003,-9.20023452801238
"26259",42.565,65471,-4,-2.61953786318921,-10.0500096172341
"26260",41.66,63738,-3,-2.12615999060261,-2.64697346916956
"26261",40.625,63325,-4,-2.48439750360057,-0.647965107157426
"26262",40.71,62095,-5,0.209230769230771,-1.94236083695223
"26263",33.275,60443,-4,-18.2633259641366,-2.66043964892503
"26264",32.355,59480,-3,-2.76483846731779,-1.59323660308059
"26265",33.635,59728,-3,3.95611188378922,0.416946872898453
"26266",37.915,63226,-3,12.7248401962242,5.85654969193678
"26267",40.72,68816,-4,7.39812739021493,8.8412994654098
"26268",40.92,75211,-5,0.491159135559928,9.29289700069751
"26269",44.45,81115,-2,8.62658846529814,7.84991557086065
"26270",47.1,82905,1,5.9617547806524,2.20674351229736
"26271",48.27,81956,4,2.48407643312102,-1.1446836740848
"26272",49.62,81963,4,2.79676817899318,0.00854116843184148
"26273",43.31,81190,4,-12.7166465135026,-0.943108475775655
"26274",41.95,81374,4,-3.14015238974832,0.226628895184136
"26275",47.15,83381,3,12.3957091775924,2.4663897559417
"26276",56.39,91410,1,19.5970307529162,9.62929204495029
"26277",73.455,96443,-1,30.2624578826033,5.50596214856143
"26278",63.13,94706,-1,-14.0562248995984,-1.80106384081789
"26279",46.77,90095,-2,-25.9147790274038,-4.86875171583638
"26280",45.305,84603,-2,-3.13234979687833,-6.09578777956601
"26281",43.545,77786,-3,-3.88478092925725,-8.05763389005118
"26282",43.22,70247,-4,-0.746354346078776,-9.69197541974134
"26283",38.8,62998,-5,-10.2267468764461,-10.3193018918957
"26284",36.945,62392,-5,-4.78092783505156,-0.961935299533318
"26285",32.62,62064,-6,-11.7065908783326,-0.525708424156943
"26286",31.24,59936,-6,-4.23053341508279,-3.4287187419438
"26287",25.365,58579,-6,-18.8060179257362,-2.26408168713294
"26288",24.635,57033,-6,-2.87798147053027,-2.63917103398829
"26289",28.88,57677,-6,17.2315810838238,1.12917083092245
"26290",32.35,61838,-6,12.0152354570637,7.21431419803388
"26291",39.4,66418,-6,21.7928902627512,7.40644910896213
"26292",42.275,71977,-5,7.29695431472081,8.3697190520642
"26293",41.155,77695,-3,NA,NA
"26294",38.815,79418,0,NA,NA
"26295",38.11,79512,5,NA,NA
"26296",37.855,79453,7,NA,NA
"26297",37.5,79301,7,NA,NA
"26298",35.2,79189,7,NA,NA
"26299",40.18,80829,7,NA,NA
"26300",45.655,87654,7,NA,NA
"26301",54.21,90752,6,NA,NA
"26302",44.47,87090,6,NA,NA
"26303",40.98,80030,6,NA,NA
"26304",40.315,72699,6,NA,NA
"26305",37.2,66332,6,NA,NA
"26306",37.78,62576,5,NA,NA
"26307",38.04,59043,5,NA,NA
"26308",37.755,59507,5,NA,NA
"26309",32.6,59549,6,NA,NA
"26310",30.275,56848,6,NA,NA
"26311",25.985,53976,6,NA,NA
"26312",25.54,53227,7,NA,NA
"26313",22.86,51174,8,NA,NA
"26314",23.005,52477,8,NA,NA
"26315",24.52,52559,8,NA,NA
"26316",23.745,53522,8,NA,NA
"26317",27.58,56772,8,NA,NA
"26318",27.91,62376,8,NA,NA
"26319",38.715,66217,9,NA,NA
"26320",40.125,69053,9,NA,NA
"26321",41.13,69731,9,NA,NA
"26322",36.61,69769,10,NA,NA
"26323",37.92,71181,10,NA,NA
"26324",43.095,76163,10,NA,NA
"26325",47.75,78373,10,NA,NA
"26326",42.775,75717,11,NA,NA
"26327",39.42,72026,11,NA,NA
"26328",36.775,68113,12,NA,NA
"26329",33.665,62961,12,NA,NA
"26330",32.84,58935,12,NA,NA
"26331",21.995,53807,12,NA,NA
"26332",22.065,52846,13,NA,NA
"26333",15.605,53389,13,NA,NA
"26334",14.75,53066,13,NA,NA
"26335",3.665,52265,13,NA,NA
"26336",3.93,51972,12,NA,NA
"26337",8.555,52335,10,NA,NA
"26338",12.29,52589,10,NA,NA
"26339",35.905,58575,8,NA,NA
"26340",36.57,64316,8,NA,NA
"26341",37.1,69807,8,NA,NA
"26342",36.24,71264,8,NA,NA
"26343",35.805,72110,9,NA,NA
"26344",36.35,72571,9,NA,NA
"26345",35.815,72753,9,NA,NA
"26346",35.32,73858,8,NA,NA
"26347",41.33,76832,7,NA,NA
"26348",48.075,86250,6,NA,NA
"26349",59.85,91622,5,NA,NA
"26350",56.21,89796,4,NA,NA
"26351",40.35,85095,3,NA,NA
"26352",39.03,79261,4,NA,NA
"26353",38.825,73286,4,NA,NA
"26354",38.455,66907,4,NA,NA
"26355",34.91,60686,4,NA,NA
"26356",34.435,58964,4,NA,NA
"26357",32.66,59511,4,NA,NA
"26358",31.985,57529,5,NA,NA
"26359",29.05,55949,5,NA,NA
"26360",26.15,54635,5,NA,NA
"26361",25.89,54721,4,NA,NA
"26362",36.035,55891,4,NA,NA
"26363",37.17,58953,4,NA,NA
"26364",38.585,65729,5,NA,NA
"26365",40.04,73605,5,NA,NA
"26366",38.21,78365,5,NA,NA
"26367",40.34,80481,6,NA,NA
"26368",42.05,81408,6,NA,NA
"26369",38.98,80477,5,NA,NA
"26370",37.585,79221,5,NA,NA
"26371",43.345,79946,5,NA,NA
"26372",52.315,86892,4,NA,NA
"26373",71.04,92323,4,NA,NA
"26374",61.77,90412,2,NA,NA
"26375",42.345,85744,2,NA,NA
"26376",41.055,80524,1,NA,NA
"26377",40.1,75073,2,NA,NA
"26378",37.56,69793,2,NA,NA
"26379",40.67,64080,2,NA,NA
"26380",42.515,62535,0,NA,NA
"26381",41.72,62227,-2,NA,NA
"26382",40.29,59975,-2,NA,NA
"26383",35.995,58613,-1,NA,NA
"26384",32.635,57024,-2,NA,NA
"26385",29.785,56891,-2,NA,NA
"26386",32.85,58221,-1,NA,NA
"26387",33.965,59956,-2,NA,NA
"26388",34.13,62999,-1,NA,NA
"26389",36.91,70004,0,NA,NA
"26390",38.2,75989,1,NA,NA
"26391",46.4,79468,1,NA,NA
"26392",45.56,81362,2,NA,NA
"26393",44.225,81159,2,NA,NA
"26394",40.63,81556,3,NA,NA
"26395",39.06,83645,3,NA,NA
"26396",48.045,91054,3,NA,NA
"26397",63.945,94572,3,NA,NA
"26398",53.555,92260,3,NA,NA
"26399",41.74,88097,3,NA,NA
"26400",43.38,82946,3,NA,NA
"26401",40.145,76215,3,NA,NA
"26402",39.18,68941,3,NA,NA
"26403",39.06,62351,3,NA,NA
"26404",38.88,61138,3,NA,NA
"26405",40.205,61044,3,NA,NA
"26406",38.13,59903,3,NA,NA
"26407",33.1,58851,4,NA,NA
"26408",30.675,57906,4,NA,NA
"26409",35.4,59485,4,NA,NA
"26410",40.895,68323,4,NA,NA
"26411",42.705,81325,4,NA,NA
"26412",42.75,86991,6,NA,NA
"26413",44.37,90257,7,NA,NA
"26414",46.335,91606,8,NA,NA
"26415",42.415,92226,9,NA,NA
"26416",40.47,92669,9,NA,NA
"26417",37.73,92268,10,NA,NA
"26418",36.775,92738,10,NA,NA
"26419",42.94,94020,9,NA,NA
"26420",49.325,99555,9,NA,NA
"26421",61.88,100991,9,NA,NA
"26422",52.96,100042,9,NA,NA
"26423",41.325,96110,9,NA,NA
"26424",40.54,89590,8,NA,NA
