"","tot.Prezzo","tot.Consumi","tot.Gradi","tot.Consumiperc","tot.Prezzoperc","dummy_ts_ita.BankHoliday","dummy_ts_ita.EndYear","dummy_ts_ita.AugustBorder","dummy_ts_ita.AugustCenter","dummy_ts_ita.DayOfWeek","dummy_ts_ita.DayOff"
"240",68.85,31404.74,3,-10.6636433434405,-14.0127388535032,0,0,0,0,0,0
"241",63.43,28614.17,2,-8.88582424181828,-7.87218591140159,0,0,0,0,0,0
"242",50.26,26820.91,2,-6.26703482924718,-20.7630458773451,0,0,0,0,0,0
"243",44.39,25850.06,2,-3.61975041115308,-11.6792678074015,0,0,0,0,0,0
"244",41.2,25603.81,2,-0.952609007483928,-7.18630322144627,0,0,0,0,0,0
"245",41.39,25726.58,0,0.479498949570398,0.461165048543684,0,0,0,0,0,0
"246",56.47,27241.67,0,5.8892009742453,36.4339212370138,0,0,0,0,0,0
"247",81.41,32228.36,0,18.3053755514989,44.1650433858686,0,0,0,0,0,0
"248",99.89,39091.2,0,21.294412747034,22.6999140154772,0,0,0,0,0,0
"249",100.22,43328.82,1,10.8403425834971,0.330363399739712,0,0,0,0,0,0
"250",90.56,43630.66,4,0.696626402473005,-9.63879465176611,0,0,0,0,0,0
"251",87.78,43293.78,6,-0.772117588869856,-3.06978798586573,0,0,0,0,0,0
"252",87.07,42795.17,8,-1.15168968844947,-0.808840282524502,0,0,0,0,0,0
"253",77.23,39840.13,9,-6.90507830673415,-11.3012518663144,0,0,0,0,0,0
"254",72.77,39183,10,-1.64941730862825,-5.77495791790756,0,0,0,0,0,0
"255",81.35,40405.26,10,3.11936298905138,11.79057303834,0,0,0,0,0,0
"256",86,41204.87,9,1.97897501463918,5.71604179471421,0,0,0,0,0,0
"257",91.28,42808.16,8,3.89102064877283,6.13953488372093,0,0,0,0,0,0
"258",147.44,45832.77,6,7.06549872734542,61.5249780893953,0,0,0,0,0,0
"259",110.47,45608.44,4,-0.489453288553135,-25.0746066196419,0,0,0,0,0,0
"260",98.51,44639.72,4,-2.12399283992174,-10.8264687245406,0,0,0,0,0,0
"261",95.41,42213.37,3,-5.4354059568474,-3.14688864074714,0,0,0,0,0,0
"262",94.39,39125.17,2,-7.31569168725455,-1.06907032805785,0,0,0,0,0,0
"263",80.22,34897.14,2,-10.8064194992635,-15.0121834940142,0,0,0,0,0,0
"264",68.86,31204.1,0,-10.5826437352746,-14.1610570929943,0,0,0,0,0,0
"265",68.28,28702.1,0,-8.01817709852231,-0.842288701713619,0,0,0,0,0,0
"266",58.06,26873.26,0,-6.37179857919804,-14.9677797305214,0,0,0,0,0,0
"267",49.26,26030.22,0,-3.13709613199142,-15.1567344126765,0,0,0,0,0,0
"268",48.68,25798.61,0,-0.889773501722231,-1.17742590336987,0,0,0,0,0,0
"269",48.68,26007.04,-1,0.807911744082337,0,0,0,0,0,0,0
"270",57.12,27106.6,0,4.22793212914656,17.3377156943303,0,0,0,0,0,0
"271",75.52,32012.72,1,18.0993558764286,32.2128851540616,0,0,0,0,0,0
"272",96.93,39125.75,2,22.2193865438488,28.3501059322034,0,0,0,0,0,0
"273",104.58,43564.59,2,11.3450604780739,7.89229340761373,0,0,0,0,0,0
"274",93.04,43875.91,4,0.71461707776891,-11.0346146490725,0,0,0,0,0,0
"275",88.98,42942.5,6,-2.12738607586715,-4.36371453138435,0,0,0,0,0,0
"276",88.18,42455.29,7,-1.13456366070909,-0.899078444594288,0,0,0,0,0,0
"277",78.62,39613.62,9,-6.69332372950461,-10.8414606486732,0,0,0,0,0,0
"278",75.08,38878.26,9,-1.85633123153097,-4.50267107606208,0,0,0,0,0,0
"279",83.22,40182.5,9,3.35467688111556,10.841768779968,0,0,0,0,0,0
"280",87.58,40926.08,9,1.85050706153177,5.23912521028599,0,0,0,0,0,0
"281",92.77,42600.86,7,4.0922072184778,5.92601050468143,0,0,0,0,0,0
"282",152.42,45517.66,6,6.84681013481888,64.2988034925083,0,0,0,0,0,0
"283",114.15,45415.41,5,-0.224638085525486,-25.108253510038,0,0,0,0,0,0
"284",98.49,44426.08,3,-2.17840156017528,-13.718791064389,0,0,0,0,0,0
"285",94.12,42256.58,4,-4.88339281791236,-4.43699868006903,0,0,0,0,0,0
"286",91.2,39289.01,2,-7.0227406003988,-3.10242243943902,0,0,0,0,0,0
"287",80.18,35058.66,2,-10.7672603611035,-12.0833333333333,0,0,0,0,0,0
"288",71.64,31409.43,2,-10.4089260684807,-10.6510351708656,0,0,0,0,0,0
"289",65.17,28428.86,1,-9.489411301001,-9.03126744835287,0,0,0,0,0,0
"290",51.5,26796.15,-1,-5.74314270779764,-20.9759091606567,0,0,0,0,0,0
"291",47.55,25950.11,-1,-3.15731924175675,-7.66990291262136,0,0,0,0,0,0
"292",47.17,25805.85,-1,-0.55591286510925,-0.799158780231326,0,0,0,0,0,0
"293",47.72,26045.48,-1,0.928587897705369,1.16599533601865,0,0,0,0,0,0
"294",50.54,27319.91,3,4.89309469435772,5.9094719195306,0,0,0,0,0,0
"295",71.53,32105.61,0,17.5172612208459,41.5314602295212,0,0,0,0,0,0
"296",89.39,39110.91,-1,21.8195511625538,24.9685446665735,0,0,0,0,0,0
"297",94.78,43223.67,0,10.5156336173206,6.02975724353955,0,0,0,0,0,0
"298",89.59,43693.32,2,1.08655743484994,-5.4758387845537,0,0,0,0,0,0
"299",86.49,42774.07,3,-2.10386850896201,-3.46020761245676,0,0,0,0,0,0
"300",85.82,42325.59,6,-1.04848568303181,-0.7746560295988,0,0,0,0,0,0
"301",72.68,39642.56,7,-6.33902563437391,-15.3111162899091,0,0,0,0,0,0
"302",71.71,38794.89,9,-2.13828269415496,-1.33461750137591,0,0,0,0,0,0
"303",72.66,38991.59,10,0.50702553867274,1.32478036536048,0,0,0,0,0,0
"304",78.13,39542.11,9,1.41189420590441,7.52821359757776,0,0,0,0,0,0
"305",85.07,40994.87,6,3.67395670084374,8.88263151158326,0,0,0,0,0,0
"306",97.88,44081.05,5,7.52821023703698,15.0581873751029,0,0,0,0,0,0
"307",98.53,44170.28,4,0.202422582946631,0.664078463424607,0,0,0,0,0,0
"308",94.99,43353.73,3,-1.84864121305094,-3.59281437125749,0,0,0,0,0,0
"309",91.81,41088.27,3,-5.22552500096302,-3.34772081271712,0,0,0,0,0,0
"310",84.36,38267.66,2,-6.86475726527302,-8.11458446792289,0,0,0,0,0,0
