DateYYYYMMDD,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
20140117,28028.234,26278.68,25930.703,25624.429,25846.991,27017.347,31928.456,37831.809,41872.148,43538.416,43295.495,42767.842,39808.926,38886.474,40088.383,40491.618,41167.589,44516.892,43907.307,42422.672,39669.701,37043.434,33186.846,30281.435
20140118,28173.102,26337.598,25503.475,25003.573,24844.987,25498.818,27661.697,31423.358,33573.859,35783.725,35643.719,34879.812,33467.849,31684.223,31170.576,30762.274,32108.235,36221.673,37048.86,37075.109,34951.962,32580.58,29549.02,27562.934
20140119,25734.937,24079.731,23344.421,22934.181,22697.222,23071.434,23959.947,25371.856,26840.896,29028.049,30191.063,30707.166,30124.934,28370.189,27988.301,28082.063,28578.234,31928.08,33154.751,33615.897,32743.96,31256.285,28578.827,26343.016
20140120,24642.081,23186.053,22633.725,22305.989,22661.834,24389.668,29667.092,36331.668,40932.056,42517.697,42595.388,42250.015,39759.871,39261.205,40434.39,40885.819,41888.594,44303.444,43503.208,42345.725,40165.702,37458.682,33083.163,29996.907
20140121,27367.364,26133.502,25662.348,25319.204,25403.018,26747.405,31666.493,37537.028,42004.718,43189.38,43537.65,42778.461,39842.072,39419.906,40554.64,40521.384,41213.841,43921.732,43192.188,42120.035,39594.645,36907.97,32666.67,29756.494
20140122,26647.512,25697.717,25072.544,25303.572,25428.693,26758.44,30906.715,37613.096,41425.042,43221.259,43571.443,43259.901,40455.531,39595.108,40790.207,41041.884,41862.072,44881.019,44689.262,43082.381,40372.12,37445.76,33660.309,30831.836
20140123,27211.292,25879.949,25367.063,25170.01,25270.005,26583.835,31014.187,37890.894,41950.119,43665.439,43736.165,43497.306,40510.032,39765.893,40824.446,41236.977,42000.694,44103.582,44139.174,42652.007,40410.778,37791.551,33725.283,30764.982
20140124,27945.349,26502.299,25817.363,25620.072,25849.506,27243.746,31675.621,37790.899,41757.628,43628.106,43782.34,43260.198,40623.699,39930.224,40627.965,40830.163,41772.354,44530.248,44945.226,43097.391,40163.048,37515.358,33525.793,30696.19
20140125,27925.832,26556.535,26150.323,25617.198,25329.174,25810.507,27791.349,31410.636,33394.59,35912.987,35703.549,34798.225,32946.977,31360.852,30867.994,31147.651,32345.831,35939.781,38023.807,37883.79,35347.487,32882.998,30291.358,27909.878
20140126,25979.855,24299.161,23581.927,22914.618,22803.475,23140.136,24088.355,25086.777,26406.295,28782.445,29703.954,30111.848,29876.304,28116.158,27707.1,27889.699,28747.475,32081.497,34510.324,35235.488,33967.204,32479.522,29899.544,27666.711
20140127,25063.622,23719.683,23093.926,23191.875,23447.606,24737.84,29828.539,36547.209,41105.525,43045.778,43055.28,42691.604,40181.04,39778.001,41255.009,41605.855,42666.702,44514.997,44282.38,42990.977,40592.97,37652.782,33946.604,30966.154
20140128,27950.835,26179.732,25516.149,25054.901,25062.725,26690.169,31260.701,37846.099,42086.171,43733.131,43466.841,43172.729,40298.288,39850.142,40858.535,41520.037,42981.701,45490.667,45502.458,43974.677,41236.129,38253.643,34069.051,31119.452
20140129,28127.169,26566.811,25792.652,25571.092,25792.884,27366.696,31850.212,38410.697,42282.426,43691.397,43941.202,43434.109,40489.595,39894.524,41116.957,41667.56,42993.538,45036.689,45116.628,43726.348,41114.022,38130.525,33982.945,30782.955
20140130,28091.214,27025.096,26225.494,26128.329,26428.743,27918.962,32313.677,38754.098,42460.875,43800.488,43372.597,43184.491,40382.547,39636.105,40950.992,41551.498,42579.495,44818.938,45142.779,43676.704,40880.884,37752.676,33603.457,30563.719
20140131,28230.236,26839.309,25741.744,25467.984,25703.33,27359.594,31967.036,38246.476,42087.78,43302.684,42799.725,42196.875,39411.185,38639.107,39575.949,40248.072,41147.969,43992.282,44483.901,43073.805,39626.381,36591.544,32778.237,30011.463
20140201,27462.303,26119.829,24981.579,24524.179,24478.785,25220.084,27266.373,30757.914,33450.841,35186.459,34935.279,34119.207,32466.308,30961.3,30814.869,31044.672,31480.741,34115.093,37270.98,37706.128,34763.573,32243.534,29643.947,27522.203
20140202,25708.805,24274.763,23151.358,22835.269,22709.406,23075.073,24167.95,25069.398,26935.556,28897.779,29644.37,29981.853,29531.049,28289.904,27898.48,28045.34,28045.39,30533.565,33647.801,34353.08,33125.86,31747.653,29049.598,26626.751
20140203,24333.109,23197.218,22405.838,22294.472,22790.041,24898.786,29696.926,35782.824,40686.648,42610.659,42053.099,41534.165,39183.675,39079.638,40166.014,40851.173,41566.433,42548.856,44099.659,42813.374,39988.531,37039.573,33072.077,29806.731
20140204,27364.754,25950.868,24852.58,24817.124,25013.492,26483.579,31231.99,37414.336,42078.977,43694.616,43553.974,42845.137,40517.91,40138.662,41126.733,41843.373,42388.518,43409.996,45061.214,43823.195,40478.631,37710.052,33645.218,30246.538
20140205,27850.797,26535.006,25409.557,25186.229,25446.072,26824.035,31494.449,37546.972,42685.539,44666.444,43896.975,43199.262,40544.69,39750.311,40608.469,41270.387,41874.538,43662.354,45479.102,44181.808,40940.106,37550.986,33599.894,30355.191
20140206,28351.593,26685.713,25671.83,25401.876,25737.27,26998.733,31526.872,36951.15,42201.96,43441.171,43614.077,42650.402,39736.395,39015.529,39827.03,40461.143,40861.891,42242.004,43646.939,42512.037,39624.668,36571.594,32813.945,29765.811
20140207,28141.175,26592.054,25476.353,25218.74,25500.887,26802.636,31333.241,37243.902,41586.768,42868.687,42842.07,42163.129,39439.768,38856.229,39592.231,40389.237,40775.51,42715.629,44105.562,43038.999,40077.739,37022.491,33484.747,30629.077
